$GPGLL, 3055.2244, W, 15288.0216, S, 161827.462, A, A*125
$GPGLL, 8870.8717, W, 07310.4313, S, 181301.308, V, A*110
$GPGLL, 8938.7174, E, 10839.5765, N, 205202.353, A, A*118
$GPGLL, 1552.4483, E, 02286.1857, N, 222727.346, A, A*117
$GPGLL, 6371.2746, E, 06239.3277, N, 231122.554, A, D*114
$GPGLL, 4719.1615, W, 17973.6354, N, 014455.489, A, D*104
$GPGLL, 8496.3131, W, 02876.2873, N, 015435.826, A, A*103
$GPGLL, 4872.0042, W, 12022.8958, S, 012755.075, A, D*114
$GPGLL, 3996.5457, W, 14383.0266, N, 014042.080, A, E*109
$GPGLL, 4004.0667, E, 10942.0479, N, 031017.491, A, A*114
$GPGLL, 3919.7438, E, 14127.7675, S, 053849.070, A, D*109
$GPGLL, 1042.4562, E, 08244.8743, S, 060944.762, A, E*108
$GPGLL, 8912.7389, E, 6294.4388, N, 085311.604, A, A*122
$GPGLL, 4243.0389, E, 02395.4252, S, 103307.506, A, A*110
$GPGLL, 5326.5728, W, 12333.0889, N, 101714.469, A, D*100
$GPGLL, 0716.6583, E, 08122.0201, N, 110225.212, A, A*127
$GPGLL, 0444.4097, E, 04015.1312, S, 115526.373, A, A*104
$GPGLL, 10092.6005, E, 05005.2664, N, 133360.863, A, D*117
$GPGLL, 7334.5723, E, 14289.2026, S, 145918.622, A, D*103
$GPGLL, 5062.2277, E, 10302.3746, S, 165558.390, A, D*106
$GPGLL, 3021.7186, W, 08017.1198, S, 164652.089, A, E*118
$GPGLL, 0173.6901, W, 00729.0807, N, 172656.782, A, E*107
$GPGLL, 8071.5674, E, 16598.4806, N, 194022.350, A, A*116
$GPGLL, 0506.0890, W, 00097.2736, N, 200136.401, A, A*100
$GPGLL, 568.4671, E, 14498.7990, S, 224029.595, A, A*102
$GPGLL, 1866.1973, E, 17791.6387, N, 225068.976, A, A*124
$GPGLL, 1956.4696, E, 06572.5595, S, 231720.621, A, E*108
$GPGLL, 2598.0282, W, 12744.1518, S, 235861.633, A, A*124
$GPGLL, 8601.0968, W, 12906.4562, N, 231240.225, V, E*122
$GPGLL, 1426.8986, E, 09951.2788, N, 232655.045, A, A*114
$GPGLL, 7463.8189, E, 24349.9479, S, 014531.394, A, A*105
$GPGLL, 4436.4421, E, 12208.2030, S, 022054.001, A, A*106
$GPGLL, 7637.3459, E, 12165.1602, N, 020555.138, V, A*105
$GPGLL, 5772.6201, E, 11021.2014, S, 035923.581, A, E*100
$GPGLL, 8313.8479, W, 21556.0785, N, 050174.033, A, A*100
$GPGLL, 1661.3636, W, 29193.0513, N, 060321.173, A, A*097
$GPGLL, 7411.1518, E, 07410.4015, N, 085235.750, A, A*126
$GPGLL, 0994.7487, W, 11787.5889, N, 085829.057, A, A*107
$GPGLL, 1588.5013, W, 07140.6418, S, 094348.469, A, E*113
$GPGLL, 8813.6239, W, 24005.1965, S, 095877.877, A, A*119
