$GPGLL, 8543.7034, E, 14612.4484, N, 165113.620, A, A*122
$GPGLL, 8352.1445, E, 17318.5637, N, 185422.635, A, A*114
$GPGLL, 5024.6633, W, 03919.8966, S, 204941.372, A, A*122
$GPGLL, 5631.3190, W, 16619.7791, S, 222202.016, A, A*120
$GPGLL, 4893.4530, W, 04079.7041, N, 234857.601, A, E*107
$GPGLL, 7767.5024, W, 06062.7822, S, 010331.904, A, D*113
$GPGLL, 6097.3457, W, 17173.2779, N, 011219.108, A, D*104
$GPGLL, 8350.1970, W, 06147.5876, N, 013241.979, A, D*101
$GPGLL, 1429.3186, W, 06603.9696, S, 014631.936, A, D*127
$GPGLL, 2521.4646, E, 16891.0368, N, 034239.355, A, D*126
$GPGLL, 0530.3834, E, 04969.8414, N, 034437.465, V, A*111
$GPGLL, 1531.5705, W, 13917.7855, N, 051849.527, A, A*105
$GPGLL, 3708.2949, W, 01112.4850, N, 062855.907, V, A*126
$GPGLL, 3669.4739, W, 07696.1118, S, 070324.727, A, E*118
$GPGLL, 7783.2349, E, 17398.7681, N, 074331.902, A, A*123
$GPGLL, 6434.1785, W, 07346.1252, S, 095921.208, A, A*118
$GPGLL, 7583.3660, W, 02056.1705, N, 092430.106, A, D*109
$GPGLL, 1608.7320, W, 14590.5744, N, 114661.437, A, A*108
$GPGLL, 3942.2957, W, 03347.9149, S, 122119.172, A, A*121
$GPGLL, 5605.1418, W, 04242.1964, S, 144513.559, A, D*124
$GPGLL, 2489.1902, W, 12965.5431, S, 154329.194, A, E*113
$GPGLL, 1954.9137, W, 05865.5670, N, 163911.051, V, D*127
$GPGLL, 2614.7361, E, 01253.4582, N, 181121.617, V, D*109
$GPGLL, 2320.1918, E, 13450.9371, N, 185936.289, A, A*119
$GPGLL, 4138.6376, W, 02621.6698, N, 184641.210, A, A*106
$GPGLL, 4515.9883, E, 16038.4018, S, 193733.695, A, D*105
$GPGLL, 7906.2016, W, 10905.1255, S, 215029.667, A, A*127
$GPGLL, 5246.8274, W, 02952.5234, S, 235560.123, A, E*117
$GPGLL, 2010.0608, E, 11846.8313, S, 002967.314, V, D*116
$GPGLL, 4097.6507, W, 10242.1792, N, 002446.780, A, D*099
$GPGLL, 6685.8173, E, 04879.3272, N, 010653.521, A, A*120
$GPGLL, 3819.3777, E, 02558.0204, S, 021536.781, A, D*103
$GPGLL, 6787.5739, E, 17560.9902, S, 033737.590, A, E*110
$GPGLL, 4074.6482, W, 07896.6570, N, 043069.722, A, A*111
$GPGLL, 3790.2772, W, 10380.5227, N, 063234.976, A, A*102
$GPGLL, 7734.9936, E, 10132.1620, N, 063042.283, A, A*117
$GPGLL, 1848.8658, E, 04469.3090, N, 071173.918, A, A*121
$GPGLL, 8159.5738, E, 13679.1026, N, 071368.065, V, A*101
$GPGLL, 4834.3136, W, 14437.3932, N, 091858.127, V, D*114
$GPGLL, 8685.8057, W, 12939.3856, N, 104174.075, A, A*111
$GPGLL, 0764.9338, E, 02567.7231, S, 122769.742, A, A*105
$GPGLL, 2301.1310, W, 00546.7917, N, 131680.603, A, D*106
$GPGLL, 5012.9801, W, 07753.7656, S, 131669.909, V, D*108
$GPGLL, 6504.8762, W, 01606.4510, N, 153671.632, A, A*102
$GPGLL, 3959.2315, W, 11843.3049, S, 175040.949, A, A*119
$GPGLL, 3938.3188, E, 17609.2834, N, 171537.007, A, E*123
$GPGLL, 6102.1595, W, 01734.3985, N, 193362.397, A, D*100
$GPGLL, 6757.5409, E, 04445.4784, S, 201348.060, A, E*111
$GPGLL, 7399.2297, W, 17592.7234, N, 203534.075, A, E*110
$GPGLL, 7660.8934, W, 06524.4586, N, 215442.733, A, E*103
$GPGLL, 0979.5860, W, 14130.1051, S, 230264.971, A, A*118
$GPGLL, 7015.2183, E, 03464.3088, S, 011665.619, A, E*102
$GPGLL, 8013.6771, E, 01250.1945, N, 022129.805, A, A*124
$GPGLL, 5425.2455, E, 00714.0618, N, 025155.431, A, E*112
$GPGLL, 8360.0328, W, 08661.1271, N, 020048.139, A, A*102
$GPGLL, 2862.6557, W, 13525.1916, N, 021486.890, A, A*099
$GPGLL, 4061.3245, W, 12183.0951, S, 024684.074, A, E*122
$GPGLL, 2788.1053, W, 09417.2323, N, 043563.294, A, D*111
$GPGLL, 7421.2082, W, 01542.9433, S, 055682.359, A, E*118
$GPGLL, 5145.4140, E, 16808.4744, N, 064163.276, A, E*120
$GPGLL, 1536.8093, E, 05179.2731, S, 085180.871, V, D*114
$GPGLL, 0499.4982, E, 05350.3531, S, 084587.859, A, D*103
$GPGLL, 2533.9391, E, 07787.9754, S, 090364.802, A, A*099
$GPGLL, 0633.6396, W, 12431.2481, S, 091046.136, V, A*105
$GPGLL, 1846.0754, W, 14755.6275, N, 103270.803, V, A*121
$GPGLL, 1250.8471, E, 05470.0753, S, 120266.400, A, D*111
$GPGLL, 3380.0725, W, 00061.6973, N, 135152.652, V, A*120
$GPGLL, 4682.7298, E, 11764.5681, N, 155752.910, A, A*115
$GPGLL, 0196.3437, W, 10510.1540, N, 164756.530, V, A*117
$GPGLL, 7623.1246, W, 16771.1291, N, 162758.727, A, A*106
$GPGLL, 0739.4267, W, 08217.6943, N, 184270.440, A, D*104
$GPGLL, 0616.0753, W, 14957.0638, S, 182085.960, A, E*120
$GPGLL, 2124.4496, W, 04763.8720, S, 190264.118, A, D*114
$GPGLL, 5869.7372, W, 08352.9498, N, 212073.264, A, A*109
$GPGLL, 6549.2689, W, 07326.8946, N, 221868.456, A, A*099
$GPGLL, 6848.7296, W, 09007.2281, S, 220345.030, A, D*125
$GPGLL, 6722.1016, W, 07188.5626, N, 222591.055, A, A*098
$GPGLL, 6541.2589, W, 13259.8269, S, 005159.345, A, A*117
$GPGLL, 6084.7534, W, 10333.2061, N, 014688.810, A, A*105
$GPGLL, 7628.7816, W, 15521.9040, N, 021039.748, V, E*118
$GPGLL, 8368.3473, W, 13504.9564, N, 042095.132, A, D*111
$GPGLL, 7037.9673, E, 15901.8065, N, 054543.376, A, A*119
$GPGLL, 5427.9216, E, 05828.2597, N, 060139.746, A, D*114
$GPGLL, 6227.8676, E, 09646.4682, N, 081975.346, A, D*116
$GPGLL, 8971.1666, E, 12443.4595, N, 083166.905, A, D*119
$GPGLL, 0409.7921, W, 11551.0334, S, 092567.092, A, E*115
$GPGLL, 1529.5441, E, 10435.7774, N, 110995.170, A, E*117
$GPGLL, 0088.1320, E, 15811.1132, N, 130248.183, A, D*119
$GPGLL, 0612.3592, W, 01365.4945, N, 135897.150, A, A*107
$GPGLL, 0476.0152, W, 12122.0917, S, 153844.555, V, A*101
$GPGLL, 5137.0575, W, 11310.5794, S, 172001.688, A, D*122
$GPGLL, 6285.2923, W, 08880.9363, S, 191592.944, A, E*120
$GPGLL, 7046.2448, E, 03682.8509, S, 203957.787, A, E*102
$GPGLL, 7305.0628, W, 17505.9584, N, 212069.850, A, D*102
$GPGLL, 4692.7564, W, 03170.1995, S, 233467.148, A, A*116
